Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES,FILEPATH,FILENAME
ABWC Research Group ,https://mstdn.science/@ABWC,https://www.wlv.ac.uk/research/institutes-and-centres/rihs---research-institute-in-healthcare-science/animal-behaviour-and-wildlife-conservation-/,United Kingdom,English,-,-,21/11/2022,-,Scientific research groups,Grupos de investigación científica,united_kingdom/SCI_RESEARCH_GROUPS.csv,SCI_RESEARCH_GROUPS
Acoustical Society of America ,https://fediscience.org/@AcousticalSocietyofAmerica,https://acousticalsociety.org/,USA,English,-,-,07/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas",united_states_of_america/SCI_INSTITUTES_JOURNALS_SOCIETIES.csv,SCI_INSTITUTES_JOURNALS_SOCIETIES
ADS_Bund,https://social.bund.de/@antidiskriminierung,https://www.antidiskriminierungsstelle.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
Afallen,https://toot.wales/@afallen,https://afallen.cymru/,United Kingdom,English,-,-,2/3/2019,-,Non profit organizations / Non Governmental Organizations,Organizaciones sin ánimo de lucro / Organizaciones no gubernamentales,united_kingdom/NPO_NGO.csv,NPO_NGO
Alba Precedo,https://mastodon.world/@AlbaPrecedo,https://www.infolibre.es/autores/alba-precedo/,Spain,Spanish,-,-,20/11/2022,-,Journalists,Periodistas,spain/JOURNALISTS.csv,JOURNALISTS
Amsterdam Law School - UvA,https://mastodon.social/@amsterdamlawschool,https://www.uva.nl/law,Netherlands,Dutch,-,-,30/10/2022,-,Universities,Universidades,netherlands/UNIVERSITIES.csv,UNIVERSITIES
Anacleto Panceto,https://mastodon.social/@Xuxipc,https://www.instagram.com/xuxipc/,Spain,Spanish,-,-,06/07/2018,-,Comedians,Humoristas,spain/COMEDIANS.csv,COMEDIANS
Antonio Maestre,https://mastodon.social/@_antoniomaestre_/,https://es.wikipedia.org/wiki/Antonio_Maestre,Spain,Spanish,-,-,29/12/2019,-,Journalists,Periodistas,spain/JOURNALISTS.csv,JOURNALISTS
Arch Linux,https://pokemon.men/@archlinux,https://archlinux.org/,Global,English,-,Bot,06/05/2019,-,Software,Software,global/SOFTWARE.csv,SOFTWARE
ARGIA,https://mastodon.eus/@argia,https://www.argia.eus/,Spain,Euskera,-,-,31/10/2018,-,Media,Medios de comunicación,spain/MEDIA.csv,MEDIA
Australian Maths Society ,https://mathstodon.xyz/@AustMS,https://austms.org.au/,Australia,English,-,-,14/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas",australia/SCI_INSTITUTES_JOURNALS_SOCIETIES.csv,SCI_INSTITUTES_JOURNALS_SOCIETIES
Auswärtiges Amt,https://social.bund.de/@AuswaertigesAmt,https://www.auswaertiges-amt.de/de/,Germany,German,-,-,01/10/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
BAM Materialforschung,https://social.bund.de/@BAMResearch,http://bam.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
BAMF_Bund,https://social.bund.de/@bamf,https://www.bamf.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
Barcelona en Comú,https://mastodon.world/@bcnencomu,https://barcelonaencomu.cat/,Spain,Spanish / Catalan,https://t.me/bcnencomu,-,18/11/2022,-,Policy,Política,spain/POLICY.csv,POLICY
BASE,https://social.bund.de/@base,https://www.base.bund.de/DE/home/home_node.html,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
BayLfD,https://social.bund.de/@BayLfD,https://www.datenschutz-bayern.de/,Germany,German,-,-,01/04/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
Bernardo Vergara,https://mas.to/@bernardovergara,https://www.eldiario.es/autores/bernardo_vergara/,Spain,Spanish,-,-,11/11/2022,-,Cartoonists / Illustrators,Dibujantes / Viñetistas / Ilustradores,spain/CARTOONISTS.csv,CARTOONISTS
BfDI,https://social.bund.de/@bfdi,https://www.bfdi.bund.de/,Germany,German,-,-,01/04/2020,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
BfR,https://social.bund.de/@bfr,https://www.bfr.bund.de/de/start.html,Germany,German,-,-,01/08/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
BKG,https://social.bund.de/@BKG,https://www.bkg.bund.de/DE/Home/home.html,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
Blender,https://mastodon.social/@Blender,https://www.blender.org/,Global,English,-,-,14/02/2018,-,Software,Software,global/SOFTWARE.csv,SOFTWARE
BlnBDI,https://social.bund.de/@BlnBDI,https://www.datenschutz-berlin.de/,Germany,German,-,-,01/08/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
BMBF_bund,https://social.bund.de/@bmbf_bund,http://www.bmbf.de/,Germany,German,-,-,01/03/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
